,scenario,year,climateyear,country_sym,technology,GWh
218,Historic,2019,2019,CZ,Oil,53.00373
219,Historic,2019,2019,CZ,Other,3532.06396
220,Historic,2019,2019,CZ,PSP,1141.26508
221,Historic,2019,2019,CZ,RoR,843.84204
222,Historic,2019,2019,CZ,Solar,2249.01006
223,Historic,2019,2019,CZ,WindOn,686.48358
274,Historic,2019,2019,DE,Biomass,41028.52046
275,Historic,2019,2019,DE,Coal,47814.37967
276,Historic,2019,2019,DE,Dam,1310.314175
277,Historic,2019,2019,DE,Gas,56575.21415
278,Historic,2019,2019,DE,Lignite,102731.626
279,Historic,2019,2019,DE,Nuclear,71041.20176
280,Historic,2019,2019,DE,Oil,3971.76937
281,Historic,2019,2019,DE,Other,9464.705648
282,Historic,2019,2019,DE,PSP,9453.953963
283,Historic,2019,2019,DE,RoR,14519.87055
284,Historic,2019,2019,DE,Solar,41914.75756
285,Historic,2019,2019,DE,WindOff,24180.48901
286,Historic,2019,2019,DE,WindOn,99621.82688
329,Historic,2019,2019,DK,Biomass,3706.57237
330,Historic,2019,2019,DK,Coal,3815.64082
331,Historic,2019,2019,DK,Gas,2618.24865
332,Historic,2019,2019,DK,Oil,265.95447
333,Historic,2019,2019,DK,Other,1324.06587
334,Historic,2019,2019,DK,Solar,969.17896
335,Historic,2019,2019,DK,WindOff,5617.04992
336,Historic,2019,2019,DK,WindOn,10313.48391
367,Historic,2019,2019,EE,Biomass,570.6221
368,Historic,2019,2019,EE,Gas,499.5709
369,Historic,2019,2019,EE,Oil,4047.2009
370,Historic,2019,2019,EE,Other,167.9101
371,Historic,2019,2019,EE,RoR,21.9156
372,Historic,2019,2019,EE,Solar,8.9332
373,Historic,2019,2019,EE,WindOn,710.889
414,Historic,2019,2019,ES,Biomass,2920.634
415,Historic,2019,2019,ES,Coal,10567.188
416,Historic,2019,2019,ES,Dam,17939.376
417,Historic,2019,2019,ES,Gas,77036.018
418,Historic,2019,2019,ES,Lignite,522.078
419,Historic,2019,2019,ES,Nuclear,55930.01
420,Historic,2019,2019,ES,Oil,2170.912
421,Historic,2019,2019,ES,Other,3760.487
