,scenario,year,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
264,Historic,2017,RO,Lignite,Lignite,YES,4622,0.37,0.364,8.3,0,RO_Lignite
265,Historic,2017,RO,Nuclear,Uran,NO,1300,0.36,0,1.8,0,RO_Nuclear
266,Historic,2017,RO,PSClosed,Hydro,NO,0,0.75,0,0,0,RO_PSClosed
267,Historic,2017,RO,PSOpen,Hydro,NO,746,0.75,0,0,0,RO_PSOpen
268,Historic,2017,RO,RoR,Hydro,NO,2681,1,0,2.6,0,RO_RoR
269,Historic,2017,RO,Solar,RES,NO,1210,1,0,0,0,RO_Solar
270,Historic,2017,RO,WindOn,RES,NO,2985,1,0,0,0,RO_WindOn
271,Historic,2017,SE,Dam,Hydro,NO,15589.92761,1,0,2.6,0,SE_Dam
272,Historic,2017,SE,Nuclear,Uran,NO,9076,0.36,0,1.8,0,SE_Nuclear
273,Historic,2017,SE,Other,Other,NO,8035,0.45,0.375,0,0,SE_Other
274,Historic,2017,SE,PSClosed,Hydro,NO,0,0.75,0,0,0,SE_PSClosed
275,Historic,2017,SE,PSOpen,Hydro,NO,0,0.75,0,0,0,SE_PSOpen
276,Historic,2017,SE,WindOn,RES,NO,5960,1,0,0,0,SE_WindOn
277,Historic,2017,SI,Biomass,Biomass,YES,17,0.36,0,2.6,0,SI_Biomass
278,Historic,2017,SI,Coal,Coal,YES,0,0.38,0.349,6.6,0,SI_Coal
279,Historic,2017,SI,Dam,Hydro,NO,0,1,0,2.6,0,SI_Dam
280,Historic,2017,SI,Gas,Gas,YES,491,0.53,0.205,4.6,0,SI_Gas
281,Historic,2017,SI,Lignite,Lignite,YES,924,0.37,0.364,8.3,0,SI_Lignite
282,Historic,2017,SI,Nuclear,Uran,NO,696,0.36,0,1.8,0,SI_Nuclear
283,Historic,2017,SI,Oil,Oil,YES,58,0.4,0.28,1.5,0,SI_Oil
284,Historic,2017,SI,Other,Other,NO,40,0.45,0.375,0,0,SI_Other
285,Historic,2017,SI,PSClosed,Hydro,NO,0,0.75,0,0,0,SI_PSClosed
286,Historic,2017,SI,PSOpen,Hydro,NO,185,0.75,0,0,0,SI_PSOpen
287,Historic,2017,SI,RoR,Hydro,NO,1053,1,0,2.6,0,SI_RoR
288,Historic,2017,SI,Solar,RES,NO,266,1,0,0,0,SI_Solar
289,Historic,2017,SI,WindOff,RES,NO,0,1,0,0,0,SI_WindOff
290,Historic,2017,SI,WindOn,RES,NO,3,1,0,0,0,SI_WindOn
291,Historic,2017,SK,Biomass,Biomass,YES,225,0.36,0,2.6,0,SK_Biomass
292,Historic,2017,SK,Coal,Coal,YES,221,0.38,0.349,6.6,0,SK_Coal
293,Historic,2017,SK,Dam,Hydro,NO,418,1,0,2.6,0,SK_Dam
294,Historic,2017,SK,Gas,Gas,YES,1106,0.53,0.205,4.6,0,SK_Gas
295,Historic,2017,SK,Lignite,Lignite,YES,333,0.37,0.364,8.3,0,SK_Lignite
296,Historic,2017,SK,Nuclear,Uran,NO,1940,0.36,0,1.8,0,SK_Nuclear
297,Historic,2017,SK,Oil,Oil,YES,257,0.4,0.28,1.5,0,SK_Oil
298,Historic,2017,SK,Other,Other,NO,567,0.45,0.375,0,0,SK_Other
