,country_sym,week,dam_inflow_MWh,pump_inflow_MWh
531,GR,w2,123416.982,16804.015580000003
532,GR,w3,177679.164,25437.66289
533,GR,w4,148250.856,17913.80312
534,GR,w5,135945.966,16143.97309
535,GR,w6,72011.23800000001,14622.960340000001
536,GR,w7,62200.788,6117.365439
537,GR,w8,51886.380000000005,6227.719547000001
538,GR,w9,53465.178,2695.3470249999996
539,GR,w10,46885.331999999995,2826.522663
540,GR,w11,56072.172,3978.994334
541,GR,w12,49044.138,3101.3668559999996
542,GR,w13,36598.301999999996,1448.1373939999999
543,GR,w14,38668.89,514.2917849999999
544,GR,w15,34960.692,1740.679887
545,GR,w16,28679.976,2466.310198
546,GR,w17,36773.724,1717.776204
547,GR,w18,34525.686,4279.865439
548,GR,w19,43278.534,6335.9915009999995
549,GR,w20,45983.886,6144.433428
550,GR,w21,37669.086,4318.385269
551,GR,w22,44056.272,3657.3017
552,GR,w23,53568.606,8154.752125
553,GR,w24,52408.59,7157.40085
554,GR,w25,58943.82,6799.270538
555,GR,w26,63191.466,9442.563739000001
556,GR,w27,77263.758,10147.372519999999
557,GR,w28,77098.47600000001,9737.188385
558,GR,w29,91177.866,9447.769122
559,GR,w30,76075.35,12330.50992
560,GR,w31,78813.15,9924.582153
561,GR,w32,83611.398,10583.58357
562,GR,w33,81983.928,10306.65722
563,GR,w34,72104.52600000001,9117.747875
564,GR,w35,60302.58,7665.4461759999995
565,GR,w36,56026.542,7236.522663
566,GR,w37,47248.344000000005,6569.192635
567,GR,w38,48060.558,6837.790368
568,GR,w39,44009.628,6472.372520999999
569,GR,w40,36835.578,4309.015581
570,GR,w41,44630.195999999996,4376.685552
571,GR,w42,45241.638,5254.313031
572,GR,w43,45410.975999999995,5560.389518
573,GR,w44,51145.14599999999,4069.567989
574,GR,w45,50716.223999999995,9293.689801999999
575,GR,w46,49046.166,9201.033994
576,GR,w47,44156.658,18883.04533
577,GR,w48,32045.442000000003,10238.987249999998
578,GR,w49,74796.696,10794.922100000002
579,GR,w50,73298.004,15786.88385
580,GR,w51,47651.916,12123.33569
581,GR,w52,77566.944,13305.998580000001
582,GR,w53,100691.214,13509.0085
583,HR,w1,74187.0,10037.18046
584,HR,w2,76438.0,11762.94538
585,HR,w3,83599.0,12721.83429
586,HR,w4,107967.0,10639.47398
587,HR,w5,91284.0,13612.14717
588,HR,w6,100807.0,18644.06074
589,HR,w7,104010.0,12642.286090000001
590,HR,w8,114424.0,12699.10623
591,HR,w9,88369.0,15779.93362
592,HR,w10,90842.0,19365.872499999998
593,HR,w11,126929.0,13763.79817
594,HR,w12,88486.0,11730.028880000002
595,HR,w13,79706.0,10846.769540000001
596,HR,w14,71838.0,10743.70956
597,HR,w15,63713.0,10456.8658
598,HR,w16,61379.0,11683.39718
599,HR,w17,66369.0,13307.277709999998
600,HR,w18,57191.0,14351.2009
601,HR,w19,54427.0,11945.1617
602,HR,w20,61693.0,12519.24109
603,HR,w21,56935.0,12987.90931
604,HR,w22,60438.0,13642.32062
605,HR,w23,56684.0,14299.474979999999
606,HR,w24,56632.0,13163.46396
607,HR,w25,45556.0,12175.18532
608,HR,w26,40479.0,13775.554059999999
609,HR,w27,39318.0,12719.09125
610,HR,w28,43478.0,11818.58993
611,HR,w29,42706.0,12233.96478
612,HR,w30,47669.0,14413.50713
613,HR,w31,46951.0,11726.50212
614,HR,w32,61934.0,14594.54786
615,HR,w33,53547.0,12861.337539999999
616,HR,w34,53632.0,14604.34444
617,HR,w35,41994.0,11711.61132
618,HR,w36,62587.0,12152.0654
619,HR,w37,78097.0,18376.026410000002
620,HR,w38,101080.0,21277.38051
621,HR,w39,105570.0,19296.12087
622,HR,w40,64441.0,13894.28857
623,HR,w41,63456.0,11514.11234
624,HR,w42,44575.0,10306.39038
625,HR,w43,44955.0,11651.65627
626,HR,w44,38831.0,9642.966217
627,HR,w45,40060.0,14201.90107
628,HR,w46,55849.0,13933.08301
629,HR,w47,64037.00000000001,10858.13357
630,HR,w48,54710.0,15882.99361
631,HR,w49,92627.0,14896.28242
632,HR,w50,102927.0,21947.46635
633,HR,w51,135859.0,18034.71368
634,HR,w52,125829.0,17400.67925
635,HR,w53,135145.0,17400.67925
636,HU,w1,0.0,0.0
637,HU,w2,0.0,0.0
638,HU,w3,0.0,0.0
639,HU,w4,0.0,0.0
640,HU,w5,0.0,0.0
641,HU,w6,0.0,0.0
642,HU,w7,0.0,0.0
643,HU,w8,0.0,0.0
644,HU,w9,0.0,0.0
645,HU,w10,0.0,0.0
646,HU,w11,0.0,0.0
647,HU,w12,0.0,0.0
648,HU,w13,0.0,0.0
649,HU,w14,0.0,0.0
650,HU,w15,0.0,0.0
651,HU,w16,0.0,0.0
652,HU,w17,0.0,0.0
653,HU,w18,0.0,0.0
654,HU,w19,0.0,0.0
655,HU,w20,0.0,0.0
656,HU,w21,0.0,0.0
657,HU,w22,0.0,0.0
658,HU,w23,0.0,0.0
659,HU,w24,0.0,0.0
660,HU,w25,0.0,0.0
661,HU,w26,0.0,0.0
662,HU,w27,0.0,0.0
663,HU,w28,0.0,0.0
664,HU,w29,0.0,0.0
665,HU,w30,0.0,0.0
666,HU,w31,0.0,0.0
667,HU,w32,0.0,0.0
668,HU,w33,0.0,0.0
669,HU,w34,0.0,0.0
670,HU,w35,0.0,0.0
671,HU,w36,0.0,0.0
672,HU,w37,0.0,0.0
673,HU,w38,0.0,0.0
674,HU,w39,0.0,0.0
675,HU,w40,0.0,0.0
676,HU,w41,0.0,0.0
677,HU,w42,0.0,0.0
678,HU,w43,0.0,0.0
679,HU,w44,0.0,0.0
680,HU,w45,0.0,0.0
681,HU,w46,0.0,0.0
682,HU,w47,0.0,0.0
683,HU,w48,0.0,0.0
684,HU,w49,0.0,0.0
685,HU,w50,0.0,0.0
686,HU,w51,0.0,0.0
687,HU,w52,0.0,0.0
688,HU,w53,0.0,0.0
689,IE,w1,0.0,0.0
690,IE,w2,0.0,0.0
691,IE,w3,0.0,0.0
692,IE,w4,0.0,0.0
693,IE,w5,0.0,0.0
694,IE,w6,0.0,0.0
695,IE,w7,0.0,0.0
696,IE,w8,0.0,0.0
697,IE,w9,0.0,0.0
698,IE,w10,0.0,0.0
699,IE,w11,0.0,0.0
700,IE,w12,0.0,0.0
701,IE,w13,0.0,0.0
702,IE,w14,0.0,0.0
703,IE,w15,0.0,0.0
704,IE,w16,0.0,0.0
705,IE,w17,0.0,0.0
706,IE,w18,0.0,0.0
707,IE,w19,0.0,0.0
708,IE,w20,0.0,0.0
709,IE,w21,0.0,0.0
710,IE,w22,0.0,0.0
711,IE,w23,0.0,0.0
712,IE,w24,0.0,0.0
713,IE,w25,0.0,0.0
714,IE,w26,0.0,0.0
715,IE,w27,0.0,0.0
716,IE,w28,0.0,0.0
717,IE,w29,0.0,0.0
718,IE,w30,0.0,0.0
719,IE,w31,0.0,0.0
720,IE,w32,0.0,0.0
721,IE,w33,0.0,0.0
722,IE,w34,0.0,0.0
723,IE,w35,0.0,0.0
724,IE,w36,0.0,0.0
725,IE,w37,0.0,0.0
726,IE,w38,0.0,0.0
727,IE,w39,0.0,0.0
728,IE,w40,0.0,0.0
729,IE,w41,0.0,0.0
730,IE,w42,0.0,0.0
731,IE,w43,0.0,0.0
732,IE,w44,0.0,0.0
733,IE,w45,0.0,0.0
734,IE,w46,0.0,0.0
735,IE,w47,0.0,0.0
736,IE,w48,0.0,0.0
737,IE,w49,0.0,0.0
738,IE,w50,0.0,0.0
739,IE,w51,0.0,0.0
740,IE,w52,0.0,0.0
741,IE,w53,0.0,0.0
742,IT,w1,262604.0,42779.0
743,IT,w2,281744.0,32195.0
744,IT,w3,373094.99999999994,27980.0
745,IT,w4,360735.0,30425.0
746,IT,w5,378829.0,49915.0
747,IT,w6,283370.0,26156.0
748,IT,w7,332685.0,36989.99999999999
749,IT,w8,301614.0,20835.0
750,IT,w9,272280.00000000006,12822.0
751,IT,w10,293318.99999999994,21142.0
752,IT,w11,312928.0,18266.0
753,IT,w12,318669.0,17144.0
754,IT,w13,315736.99999999994,24503.0
755,IT,w14,309084.0,30514.999999999996
756,IT,w15,305150.0,28628.999999999996
757,IT,w16,271381.0,14965.0
758,IT,w17,268887.0,14754.0
759,IT,w18,311857.0,19801.0
