country_sym,week,PSClosed,PSOpen,Dam
SE,w6,0,0,0.36882072
SE,w7,0,0,0.346321507
SE,w8,0,0,0.320746799
SE,w9,0,0,0.291395127
SE,w10,0,0,0.269587714
SE,w11,0,0,0.248477828
SE,w12,0,0,0.232004641
SE,w13,0,0,0.223583818
SE,w14,0,0,0.217142069
SE,w15,0,0,0.207241327
SE,w16,0,0,0.193769694
SE,w17,0,0,0.197884142
SE,w18,0,0,0.205572703
SE,w19,0,0,0.247716742
SE,w20,0,0,0.322703135
SE,w21,0,0,0.374832242
SE,w22,0,0,0.445622547
SE,w23,0,0,0.533548834
SE,w24,0,0,0.600736916
SE,w25,0,0,0.647669297
SE,w26,0,0,0.675352882
SE,w27,0,0,0.726204919
SE,w28,0,0,0.760947929
SE,w29,0,0,0.779584957
SE,w30,0,0,0.799417235
SE,w31,0,0,0.808114491
SE,w32,0,0,0.819088559
SE,w33,0,0,0.822319101
SE,w34,0,0,0.819839261
SE,w35,0,0,0.81029713
SE,w36,0,0,0.8204641
SE,w37,0,0,0.818319774
SE,w38,0,0,0.807728845
SE,w39,0,0,0.815811288
SE,w40,0,0,0.819804169
SE,w41,0,0,0.825348585
SE,w42,0,0,0.824379279
SE,w43,0,0,0.820135388
SE,w44,0,0,0.810643387
SE,w45,0,0,0.793793506
SE,w46,0,0,0.77444982
SE,w47,0,0,0.752334283
SE,w48,0,0,0.735126507
SE,w49,0,0,0.707307571
SE,w50,0,0,0.686917235
SE,w51,0,0,0.669868265
SE,w52,0,0,0.667375175
SI,w1,0,1,0
SI,w2,0,1,0
SI,w3,0,1,0
SI,w4,0,1,0
SI,w5,0,1,0
SI,w6,0,1,0
SI,w7,0,1,0
SI,w8,0,1,0
SI,w9,0,1,0
SI,w10,0,1,0
SI,w11,0,1,0
SI,w12,0,1,0
SI,w13,0,1,0
SI,w14,0,1,0
SI,w15,0,1,0
SI,w16,0,1,0
SI,w17,0,1,0
SI,w18,0,1,0
SI,w19,0,1,0
SI,w20,0,1,0
SI,w21,0,1,0
SI,w22,0,1,0
SI,w23,0,1,0
SI,w24,0,1,0
SI,w25,0,1,0
SI,w26,0,1,0
SI,w27,0,1,0
SI,w28,0,1,0
SI,w29,0,1,0
SI,w30,0,1,0
SI,w31,0,1,0
SI,w32,0,1,0
SI,w33,0,1,0
SI,w34,0,1,0
SI,w35,0,1,0
SI,w36,0,1,0
SI,w37,0,1,0
